PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_Pclass
1,0,3,0,22.0,1,0,7.25,2,0_3
2,1,1,1,38.0,1,0,71.2833,0,1_1
3,1,3,1,26.0,0,0,7.925,2,1_3
4,1,1,1,35.0,1,0,53.1,2,1_1
5,0,3,0,35.0,0,0,8.05,2,0_3
6,0,3,0,28.0,0,0,8.4583,1,0_3
7,0,1,0,54.0,0,0,51.8625,2,0_1
8,0,3,0,2.0,3,1,21.075,2,0_3
9,1,3,1,27.0,0,2,11.1333,2,1_3
10,1,2,1,14.0,1,0,30.0708,0,1_2
11,1,3,1,4.0,1,1,16.7,2,1_3
12,1,1,1,58.0,0,0,26.55,2,1_1
13,0,3,0,20.0,0,0,8.05,2,0_3
14,0,3,0,39.0,1,5,31.275,2,0_3
15,0,3,1,14.0,0,0,7.8542,2,1_3
16,1,2,1,55.0,0,0,16.0,2,1_2
17,0,3,0,2.0,4,1,29.125,1,0_3
18,1,2,0,28.0,0,0,13.0,2,0_2
19,0,3,1,31.0,1,0,18.0,2,1_3
20,1,3,1,28.0,0,0,7.225,0,1_3
21,0,2,0,35.0,0,0,26.0,2,0_2
22,1,2,0,34.0,0,0,13.0,2,0_2
23,1,3,1,15.0,0,0,8.0292,1,1_3
24,1,1,0,28.0,0,0,35.5,2,0_1
25,0,3,1,8.0,3,1,21.075,2,1_3
26,1,3,1,38.0,1,5,31.3875,2,1_3
27,0,3,0,28.0,0,0,7.225,0,0_3
28,0,1,0,19.0,3,2,263.0,2,0_1
29,1,3,1,28.0,0,0,7.8792,1,1_3
30,0,3,0,28.0,0,0,7.8958,2,0_3
31,0,1,0,40.0,0,0,27.7208,0,0_1
32,1,1,1,28.0,1,0,146.5208,0,1_1
33,1,3,1,28.0,0,0,7.75,1,1_3
34,0,2,0,66.0,0,0,10.5,2,0_2
35,0,1,0,28.0,1,0,82.1708,0,0_1
36,0,1,0,42.0,1,0,52.0,2,0_1
37,1,3,0,28.0,0,0,7.2292,0,0_3
38,0,3,0,21.0,0,0,8.05,2,0_3
39,0,3,1,18.0,2,0,18.0,2,1_3
40,1,3,1,14.0,1,0,11.2417,0,1_3
41,0,3,1,40.0,1,0,9.475,2,1_3
42,0,2,1,27.0,1,0,21.0,2,1_2
43,0,3,0,28.0,0,0,7.8958,0,0_3
44,1,2,1,3.0,1,2,41.5792,0,1_2
45,1,3,1,19.0,0,0,7.8792,1,1_3
46,0,3,0,28.0,0,0,8.05,2,0_3
47,0,3,0,28.0,1,0,15.5,1,0_3
48,1,3,1,28.0,0,0,7.75,1,1_3
49,0,3,0,28.0,2,0,21.6792,0,0_3
50,0,3,1,18.0,1,0,17.8,2,1_3
51,0,3,0,7.0,4,1,39.6875,2,0_3
52,0,3,0,21.0,0,0,7.8,2,0_3
53,1,1,1,49.0,1,0,76.7292,0,1_1
54,1,2,1,29.0,1,0,26.0,2,1_2
55,0,1,0,65.0,0,1,61.9792,0,0_1
56,1,1,0,28.0,0,0,35.5,2,0_1
57,1,2,1,21.0,0,0,10.5,2,1_2
58,0,3,0,28.5,0,0,7.2292,0,0_3
59,1,2,1,5.0,1,2,27.75,2,1_2
60,0,3,0,11.0,5,2,46.9,2,0_3
61,0,3,0,22.0,0,0,7.2292,0,0_3
62,1,1,1,38.0,0,0,80.0,2,1_1
63,0,1,0,45.0,1,0,83.475,2,0_1
64,0,3,0,4.0,3,2,27.9,2,0_3
65,0,1,0,28.0,0,0,27.7208,0,0_1
66,1,3,0,28.0,1,1,15.2458,0,0_3
67,1,2,1,29.0,0,0,10.5,2,1_2
68,0,3,0,19.0,0,0,8.1583,2,0_3
69,1,3,1,17.0,4,2,7.925,2,1_3
70,0,3,0,26.0,2,0,8.6625,2,0_3
71,0,2,0,32.0,0,0,10.5,2,0_2
72,0,3,1,16.0,5,2,46.9,2,1_3
73,0,2,0,21.0,0,0,73.5,2,0_2
74,0,3,0,26.0,1,0,14.4542,0,0_3
75,1,3,0,32.0,0,0,56.4958,2,0_3
76,0,3,0,25.0,0,0,7.65,2,0_3
77,0,3,0,28.0,0,0,7.8958,2,0_3
78,0,3,0,28.0,0,0,8.05,2,0_3
79,1,2,0,0.83,0,2,29.0,2,0_2
80,1,3,1,30.0,0,0,12.475,2,1_3
81,0,3,0,22.0,0,0,9.0,2,0_3
82,1,3,0,29.0,0,0,9.5,2,0_3
83,1,3,1,28.0,0,0,7.7875,1,1_3
84,0,1,0,28.0,0,0,47.1,2,0_1
85,1,2,1,17.0,0,0,10.5,2,1_2
86,1,3,1,33.0,3,0,15.85,2,1_3
87,0,3,0,16.0,1,3,34.375,2,0_3
88,0,3,0,28.0,0,0,8.05,2,0_3
89,1,1,1,23.0,3,2,263.0,2,1_1
90,0,3,0,24.0,0,0,8.05,2,0_3
91,0,3,0,29.0,0,0,8.05,2,0_3
92,0,3,0,20.0,0,0,7.8542,2,0_3
93,0,1,0,46.0,1,0,61.175,2,0_1
94,0,3,0,26.0,1,2,20.575,2,0_3
95,0,3,0,59.0,0,0,7.25,2,0_3
96,0,3,0,28.0,0,0,8.05,2,0_3
97,0,1,0,71.0,0,0,34.6542,0,0_1
98,1,1,0,23.0,0,1,63.3583,0,0_1
99,1,2,1,34.0,0,1,23.0,2,1_2
100,0,2,0,34.0,1,0,26.0,2,0_2
101,0,3,1,28.0,0,0,7.8958,2,1_3
102,0,3,0,28.0,0,0,7.8958,2,0_3
103,0,1,0,21.0,0,1,77.2875,2,0_1
104,0,3,0,33.0,0,0,8.6542,2,0_3
105,0,3,0,37.0,2,0,7.925,2,0_3
106,0,3,0,28.0,0,0,7.8958,2,0_3
107,1,3,1,21.0,0,0,7.65,2,1_3
108,1,3,0,28.0,0,0,7.775,2,0_3
109,0,3,0,38.0,0,0,7.8958,2,0_3
110,1,3,1,28.0,1,0,24.15,1,1_3
111,0,1,0,47.0,0,0,52.0,2,0_1
112,0,3,1,14.5,1,0,14.4542,0,1_3
113,0,3,0,22.0,0,0,8.05,2,0_3
114,0,3,1,20.0,1,0,9.825,2,1_3
115,0,3,1,17.0,0,0,14.4583,0,1_3
116,0,3,0,21.0,0,0,7.925,2,0_3
117,0,3,0,70.5,0,0,7.75,1,0_3
118,0,2,0,29.0,1,0,21.0,2,0_2
119,0,1,0,24.0,0,1,247.5208,0,0_1
120,0,3,1,2.0,4,2,31.275,2,1_3
121,0,2,0,21.0,2,0,73.5,2,0_2
122,0,3,0,28.0,0,0,8.05,2,0_3
123,0,2,0,32.5,1,0,30.0708,0,0_2
124,1,2,1,32.5,0,0,13.0,2,1_2
125,0,1,0,54.0,0,1,77.2875,2,0_1
126,1,3,0,12.0,1,0,11.2417,0,0_3
127,0,3,0,28.0,0,0,7.75,1,0_3
128,1,3,0,24.0,0,0,7.1417,2,0_3
129,1,3,1,28.0,1,1,22.3583,0,1_3
130,0,3,0,45.0,0,0,6.975,2,0_3
131,0,3,0,33.0,0,0,7.8958,0,0_3
132,0,3,0,20.0,0,0,7.05,2,0_3
133,0,3,1,47.0,1,0,14.5,2,1_3
134,1,2,1,29.0,1,0,26.0,2,1_2
135,0,2,0,25.0,0,0,13.0,2,0_2
136,0,2,0,23.0,0,0,15.0458,0,0_2
137,1,1,1,19.0,0,2,26.2833,2,1_1
138,0,1,0,37.0,1,0,53.1,2,0_1
139,0,3,0,16.0,0,0,9.2167,2,0_3
140,0,1,0,24.0,0,0,79.2,0,0_1
141,0,3,1,28.0,0,2,15.2458,0,1_3
142,1,3,1,22.0,0,0,7.75,2,1_3
143,1,3,1,24.0,1,0,15.85,2,1_3
144,0,3,0,19.0,0,0,6.75,1,0_3
145,0,2,0,18.0,0,0,11.5,2,0_2
146,0,2,0,19.0,1,1,36.75,2,0_2
147,1,3,0,27.0,0,0,7.7958,2,0_3
148,0,3,1,9.0,2,2,34.375,2,1_3
149,0,2,0,36.5,0,2,26.0,2,0_2
150,0,2,0,42.0,0,0,13.0,2,0_2
151,0,2,0,51.0,0,0,12.525,2,0_2
152,1,1,1,22.0,1,0,66.6,2,1_1
153,0,3,0,55.5,0,0,8.05,2,0_3
154,0,3,0,40.5,0,2,14.5,2,0_3
155,0,3,0,28.0,0,0,7.3125,2,0_3
156,0,1,0,51.0,0,1,61.3792,0,0_1
157,1,3,1,16.0,0,0,7.7333,1,1_3
158,0,3,0,30.0,0,0,8.05,2,0_3
159,0,3,0,28.0,0,0,8.6625,2,0_3
160,0,3,0,28.0,8,2,69.55,2,0_3
161,0,3,0,44.0,0,1,16.1,2,0_3
162,1,2,1,40.0,0,0,15.75,2,1_2
163,0,3,0,26.0,0,0,7.775,2,0_3
164,0,3,0,17.0,0,0,8.6625,2,0_3
165,0,3,0,1.0,4,1,39.6875,2,0_3
166,1,3,0,9.0,0,2,20.525,2,0_3
167,1,1,1,28.0,0,1,55.0,2,1_1
168,0,3,1,45.0,1,4,27.9,2,1_3
169,0,1,0,28.0,0,0,25.925,2,0_1
170,0,3,0,28.0,0,0,56.4958,2,0_3
171,0,1,0,61.0,0,0,33.5,2,0_1
172,0,3,0,4.0,4,1,29.125,1,0_3
173,1,3,1,1.0,1,1,11.1333,2,1_3
174,0,3,0,21.0,0,0,7.925,2,0_3
175,0,1,0,56.0,0,0,30.6958,0,0_1
176,0,3,0,18.0,1,1,7.8542,2,0_3
177,0,3,0,28.0,3,1,25.4667,2,0_3
178,0,1,1,50.0,0,0,28.7125,0,1_1
179,0,2,0,30.0,0,0,13.0,2,0_2
180,0,3,0,36.0,0,0,0.0,2,0_3
181,0,3,1,28.0,8,2,69.55,2,1_3
182,0,2,0,28.0,0,0,15.05,0,0_2
183,0,3,0,9.0,4,2,31.3875,2,0_3
184,1,2,0,1.0,2,1,39.0,2,0_2
185,1,3,1,4.0,0,2,22.025,2,1_3
186,0,1,0,28.0,0,0,50.0,2,0_1
187,1,3,1,28.0,1,0,15.5,1,1_3
188,1,1,0,45.0,0,0,26.55,2,0_1
189,0,3,0,40.0,1,1,15.5,1,0_3
190,0,3,0,36.0,0,0,7.8958,2,0_3
191,1,2,1,32.0,0,0,13.0,2,1_2
192,0,2,0,19.0,0,0,13.0,2,0_2
193,1,3,1,19.0,1,0,7.8542,2,1_3
194,1,2,0,3.0,1,1,26.0,2,0_2
195,1,1,1,44.0,0,0,27.7208,0,1_1
196,1,1,1,58.0,0,0,146.5208,0,1_1
197,0,3,0,28.0,0,0,7.75,1,0_3
198,0,3,0,42.0,0,1,8.4042,2,0_3
199,1,3,1,28.0,0,0,7.75,1,1_3
200,0,2,1,24.0,0,0,13.0,2,1_2
201,0,3,0,28.0,0,0,9.5,2,0_3
202,0,3,0,28.0,8,2,69.55,2,0_3
203,0,3,0,34.0,0,0,6.4958,2,0_3
204,0,3,0,45.5,0,0,7.225,0,0_3
205,1,3,0,18.0,0,0,8.05,2,0_3
206,0,3,1,2.0,0,1,10.4625,2,1_3
207,0,3,0,32.0,1,0,15.85,2,0_3
208,1,3,0,26.0,0,0,18.7875,0,0_3
209,1,3,1,16.0,0,0,7.75,1,1_3
210,1,1,0,40.0,0,0,31.0,0,0_1
211,0,3,0,24.0,0,0,7.05,2,0_3
212,1,2,1,35.0,0,0,21.0,2,1_2
213,0,3,0,22.0,0,0,7.25,2,0_3
214,0,2,0,30.0,0,0,13.0,2,0_2
215,0,3,0,28.0,1,0,7.75,1,0_3
216,1,1,1,31.0,1,0,113.275,0,1_1
217,1,3,1,27.0,0,0,7.925,2,1_3
218,0,2,0,42.0,1,0,27.0,2,0_2
219,1,1,1,32.0,0,0,76.2917,0,1_1
220,0,2,0,30.0,0,0,10.5,2,0_2
221,1,3,0,16.0,0,0,8.05,2,0_3
222,0,2,0,27.0,0,0,13.0,2,0_2
223,0,3,0,51.0,0,0,8.05,2,0_3
224,0,3,0,28.0,0,0,7.8958,2,0_3
225,1,1,0,38.0,1,0,90.0,2,0_1
226,0,3,0,22.0,0,0,9.35,2,0_3
227,1,2,0,19.0,0,0,10.5,2,0_2
228,0,3,0,20.5,0,0,7.25,2,0_3
229,0,2,0,18.0,0,0,13.0,2,0_2
230,0,3,1,28.0,3,1,25.4667,2,1_3
231,1,1,1,35.0,1,0,83.475,2,1_1
232,0,3,0,29.0,0,0,7.775,2,0_3
233,0,2,0,59.0,0,0,13.5,2,0_2
234,1,3,1,5.0,4,2,31.3875,2,1_3
235,0,2,0,24.0,0,0,10.5,2,0_2
236,0,3,1,28.0,0,0,7.55,2,1_3
237,0,2,0,44.0,1,0,26.0,2,0_2
238,1,2,1,8.0,0,2,26.25,2,1_2
239,0,2,0,19.0,0,0,10.5,2,0_2
240,0,2,0,33.0,0,0,12.275,2,0_2
241,0,3,1,28.0,1,0,14.4542,0,1_3
242,1,3,1,28.0,1,0,15.5,1,1_3
243,0,2,0,29.0,0,0,10.5,2,0_2
244,0,3,0,22.0,0,0,7.125,2,0_3
245,0,3,0,30.0,0,0,7.225,0,0_3
246,0,1,0,44.0,2,0,90.0,1,0_1
247,0,3,1,25.0,0,0,7.775,2,1_3
248,1,2,1,24.0,0,2,14.5,2,1_2
249,1,1,0,37.0,1,1,52.5542,2,0_1
250,0,2,0,54.0,1,0,26.0,2,0_2
251,0,3,0,28.0,0,0,7.25,2,0_3
252,0,3,1,29.0,1,1,10.4625,2,1_3
253,0,1,0,62.0,0,0,26.55,2,0_1
254,0,3,0,30.0,1,0,16.1,2,0_3
255,0,3,1,41.0,0,2,20.2125,2,1_3
256,1,3,1,29.0,0,2,15.2458,0,1_3
257,1,1,1,28.0,0,0,79.2,0,1_1
258,1,1,1,30.0,0,0,86.5,2,1_1
259,1,1,1,35.0,0,0,512.3292,0,1_1
260,1,2,1,50.0,0,1,26.0,2,1_2
261,0,3,0,28.0,0,0,7.75,1,0_3
262,1,3,0,3.0,4,2,31.3875,2,0_3
263,0,1,0,52.0,1,1,79.65,2,0_1
264,0,1,0,40.0,0,0,0.0,2,0_1
265,0,3,1,28.0,0,0,7.75,1,1_3
266,0,2,0,36.0,0,0,10.5,2,0_2
267,0,3,0,16.0,4,1,39.6875,2,0_3
268,1,3,0,25.0,1,0,7.775,2,0_3
269,1,1,1,58.0,0,1,153.4625,2,1_1
270,1,1,1,35.0,0,0,135.6333,2,1_1
271,0,1,0,28.0,0,0,31.0,2,0_1
272,1,3,0,25.0,0,0,0.0,2,0_3
273,1,2,1,41.0,0,1,19.5,2,1_2
274,0,1,0,37.0,0,1,29.7,0,0_1
275,1,3,1,28.0,0,0,7.75,1,1_3
276,1,1,1,63.0,1,0,77.9583,2,1_1
277,0,3,1,45.0,0,0,7.75,2,1_3
278,0,2,0,28.0,0,0,0.0,2,0_2
279,0,3,0,7.0,4,1,29.125,1,0_3
280,1,3,1,35.0,1,1,20.25,2,1_3
281,0,3,0,65.0,0,0,7.75,1,0_3
282,0,3,0,28.0,0,0,7.8542,2,0_3
283,0,3,0,16.0,0,0,9.5,2,0_3
284,1,3,0,19.0,0,0,8.05,2,0_3
285,0,1,0,28.0,0,0,26.0,2,0_1
286,0,3,0,33.0,0,0,8.6625,0,0_3
287,1,3,0,30.0,0,0,9.5,2,0_3
288,0,3,0,22.0,0,0,7.8958,2,0_3
289,1,2,0,42.0,0,0,13.0,2,0_2
290,1,3,1,22.0,0,0,7.75,1,1_3
291,1,1,1,26.0,0,0,78.85,2,1_1
292,1,1,1,19.0,1,0,91.0792,0,1_1
293,0,2,0,36.0,0,0,12.875,0,0_2
294,0,3,1,24.0,0,0,8.85,2,1_3
295,0,3,0,24.0,0,0,7.8958,2,0_3
296,0,1,0,28.0,0,0,27.7208,0,0_1
297,0,3,0,23.5,0,0,7.2292,0,0_3
298,0,1,1,2.0,1,2,151.55,2,1_1
299,1,1,0,28.0,0,0,30.5,2,0_1
300,1,1,1,50.0,0,1,247.5208,0,1_1
301,1,3,1,28.0,0,0,7.75,1,1_3
302,1,3,0,28.0,2,0,23.25,1,0_3
303,0,3,0,19.0,0,0,0.0,2,0_3
304,1,2,1,28.0,0,0,12.35,1,1_2
305,0,3,0,28.0,0,0,8.05,2,0_3
306,1,1,0,0.92,1,2,151.55,2,0_1
307,1,1,1,28.0,0,0,110.8833,0,1_1
308,1,1,1,17.0,1,0,108.9,0,1_1
309,0,2,0,30.0,1,0,24.0,0,0_2
310,1,1,1,30.0,0,0,56.9292,0,1_1
311,1,1,1,24.0,0,0,83.1583,0,1_1
312,1,1,1,18.0,2,2,262.375,0,1_1
313,0,2,1,26.0,1,1,26.0,2,1_2
314,0,3,0,28.0,0,0,7.8958,2,0_3
315,0,2,0,43.0,1,1,26.25,2,0_2
316,1,3,1,26.0,0,0,7.8542,2,1_3
317,1,2,1,24.0,1,0,26.0,2,1_2
318,0,2,0,54.0,0,0,14.0,2,0_2
319,1,1,1,31.0,0,2,164.8667,2,1_1
320,1,1,1,40.0,1,1,134.5,0,1_1
321,0,3,0,22.0,0,0,7.25,2,0_3
322,0,3,0,27.0,0,0,7.8958,2,0_3
323,1,2,1,30.0,0,0,12.35,1,1_2
324,1,2,1,22.0,1,1,29.0,2,1_2
325,0,3,0,28.0,8,2,69.55,2,0_3
326,1,1,1,36.0,0,0,135.6333,0,1_1
327,0,3,0,61.0,0,0,6.2375,2,0_3
328,1,2,1,36.0,0,0,13.0,2,1_2
329,1,3,1,31.0,1,1,20.525,2,1_3
330,1,1,1,16.0,0,1,57.9792,0,1_1
331,1,3,1,28.0,2,0,23.25,1,1_3
332,0,1,0,45.5,0,0,28.5,2,0_1
333,0,1,0,38.0,0,1,153.4625,2,0_1
334,0,3,0,16.0,2,0,18.0,2,0_3
335,1,1,1,28.0,1,0,133.65,2,1_1
336,0,3,0,28.0,0,0,7.8958,2,0_3
337,0,1,0,29.0,1,0,66.6,2,0_1
338,1,1,1,41.0,0,0,134.5,0,1_1
339,1,3,0,45.0,0,0,8.05,2,0_3
340,0,1,0,45.0,0,0,35.5,2,0_1
341,1,2,0,2.0,1,1,26.0,2,0_2
342,1,1,1,24.0,3,2,263.0,2,1_1
343,0,2,0,28.0,0,0,13.0,2,0_2
344,0,2,0,25.0,0,0,13.0,2,0_2
345,0,2,0,36.0,0,0,13.0,2,0_2
346,1,2,1,24.0,0,0,13.0,2,1_2
347,1,2,1,40.0,0,0,13.0,2,1_2
348,1,3,1,28.0,1,0,16.1,2,1_3
349,1,3,0,3.0,1,1,15.9,2,0_3
350,0,3,0,42.0,0,0,8.6625,2,0_3
351,0,3,0,23.0,0,0,9.225,2,0_3
352,0,1,0,28.0,0,0,35.0,2,0_1
353,0,3,0,15.0,1,1,7.2292,0,0_3
354,0,3,0,25.0,1,0,17.8,2,0_3
355,0,3,0,28.0,0,0,7.225,0,0_3
356,0,3,0,28.0,0,0,9.5,2,0_3
357,1,1,1,22.0,0,1,55.0,2,1_1
358,0,2,1,38.0,0,0,13.0,2,1_2
359,1,3,1,28.0,0,0,7.8792,1,1_3
360,1,3,1,28.0,0,0,7.8792,1,1_3
361,0,3,0,40.0,1,4,27.9,2,0_3
362,0,2,0,29.0,1,0,27.7208,0,0_2
363,0,3,1,45.0,0,1,14.4542,0,1_3
364,0,3,0,35.0,0,0,7.05,2,0_3
365,0,3,0,28.0,1,0,15.5,1,0_3
366,0,3,0,30.0,0,0,7.25,2,0_3
367,1,1,1,60.0,1,0,75.25,0,1_1
368,1,3,1,28.0,0,0,7.2292,0,1_3
369,1,3,1,28.0,0,0,7.75,1,1_3
370,1,1,1,24.0,0,0,69.3,0,1_1
371,1,1,0,25.0,1,0,55.4417,0,0_1
372,0,3,0,18.0,1,0,6.4958,2,0_3
373,0,3,0,19.0,0,0,8.05,2,0_3
374,0,1,0,22.0,0,0,135.6333,0,0_1
375,0,3,1,3.0,3,1,21.075,2,1_3
376,1,1,1,28.0,1,0,82.1708,0,1_1
377,1,3,1,22.0,0,0,7.25,2,1_3
378,0,1,0,27.0,0,2,211.5,0,0_1
379,0,3,0,20.0,0,0,4.0125,0,0_3
380,0,3,0,19.0,0,0,7.775,2,0_3
381,1,1,1,42.0,0,0,227.525,0,1_1
382,1,3,1,1.0,0,2,15.7417,0,1_3
383,0,3,0,32.0,0,0,7.925,2,0_3
384,1,1,1,35.0,1,0,52.0,2,1_1
385,0,3,0,28.0,0,0,7.8958,2,0_3
386,0,2,0,18.0,0,0,73.5,2,0_2
387,0,3,0,1.0,5,2,46.9,2,0_3
388,1,2,1,36.0,0,0,13.0,2,1_2
389,0,3,0,28.0,0,0,7.7292,1,0_3
390,1,2,1,17.0,0,0,12.0,0,1_2
391,1,1,0,36.0,1,2,120.0,2,0_1
392,1,3,0,21.0,0,0,7.7958,2,0_3
393,0,3,0,28.0,2,0,7.925,2,0_3
394,1,1,1,23.0,1,0,113.275,0,1_1
395,1,3,1,24.0,0,2,16.7,2,1_3
396,0,3,0,22.0,0,0,7.7958,2,0_3
397,0,3,1,31.0,0,0,7.8542,2,1_3
398,0,2,0,46.0,0,0,26.0,2,0_2
399,0,2,0,23.0,0,0,10.5,2,0_2
400,1,2,1,28.0,0,0,12.65,2,1_2
401,1,3,0,39.0,0,0,7.925,2,0_3
402,0,3,0,26.0,0,0,8.05,2,0_3
403,0,3,1,21.0,1,0,9.825,2,1_3
404,0,3,0,28.0,1,0,15.85,2,0_3
405,0,3,1,20.0,0,0,8.6625,2,1_3
406,0,2,0,34.0,1,0,21.0,2,0_2
407,0,3,0,51.0,0,0,7.75,2,0_3
408,1,2,0,3.0,1,1,18.75,2,0_2
409,0,3,0,21.0,0,0,7.775,2,0_3
410,0,3,1,28.0,3,1,25.4667,2,1_3
411,0,3,0,28.0,0,0,7.8958,2,0_3
412,0,3,0,28.0,0,0,6.8583,1,0_3
413,1,1,1,33.0,1,0,90.0,1,1_1
414,0,2,0,28.0,0,0,0.0,2,0_2
415,1,3,0,44.0,0,0,7.925,2,0_3
416,0,3,1,28.0,0,0,8.05,2,1_3
417,1,2,1,34.0,1,1,32.5,2,1_2
418,1,2,1,18.0,0,2,13.0,2,1_2
419,0,2,0,30.0,0,0,13.0,2,0_2
420,0,3,1,10.0,0,2,24.15,2,1_3
421,0,3,0,28.0,0,0,7.8958,0,0_3
422,0,3,0,21.0,0,0,7.7333,1,0_3
423,0,3,0,29.0,0,0,7.875,2,0_3
424,0,3,1,28.0,1,1,14.4,2,1_3
425,0,3,0,18.0,1,1,20.2125,2,0_3
426,0,3,0,28.0,0,0,7.25,2,0_3
427,1,2,1,28.0,1,0,26.0,2,1_2
428,1,2,1,19.0,0,0,26.0,2,1_2
429,0,3,0,28.0,0,0,7.75,1,0_3
430,1,3,0,32.0,0,0,8.05,2,0_3
431,1,1,0,28.0,0,0,26.55,2,0_1
432,1,3,1,28.0,1,0,16.1,2,1_3
433,1,2,1,42.0,1,0,26.0,2,1_2
434,0,3,0,17.0,0,0,7.125,2,0_3
435,0,1,0,50.0,1,0,55.9,2,0_1
436,1,1,1,14.0,1,2,120.0,2,1_1
437,0,3,1,21.0,2,2,34.375,2,1_3
438,1,2,1,24.0,2,3,18.75,2,1_2
439,0,1,0,64.0,1,4,263.0,2,0_1
440,0,2,0,31.0,0,0,10.5,2,0_2
441,1,2,1,45.0,1,1,26.25,2,1_2
442,0,3,0,20.0,0,0,9.5,2,0_3
443,0,3,0,25.0,1,0,7.775,2,0_3
444,1,2,1,28.0,0,0,13.0,2,1_2
445,1,3,0,28.0,0,0,8.1125,2,0_3
446,1,1,0,4.0,0,2,81.8583,2,0_1
